"filename", "language", "JavaScript", "JSON", "HTML", "CSS", "XML", "SCSS", "comment", "blank", "total"
"c:\Users\SkyEye\webBackEnd\v1\app.js", "JavaScript", 125, 0, 0, 0, 0, 0, 2, 11, 138
"c:\Users\SkyEye\webBackEnd\v1\models\movie.js", "JavaScript", 10, 0, 0, 0, 0, 0, 2, 2, 14
"c:\Users\SkyEye\webBackEnd\v1\models\reservation.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 2, 18
"c:\Users\SkyEye\webBackEnd\v1\models\schedule.js", "JavaScript", 12, 0, 0, 0, 0, 0, 2, 2, 16
"c:\Users\SkyEye\webBackEnd\v1\package-lock.json", "JSON", 0, 1007, 0, 0, 0, 0, 0, 1, 1008
"c:\Users\SkyEye\webBackEnd\v1\package.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\SkyEye\webBackEnd\v1\public\Source\sass\style.scss", "SCSS", 0, 0, 0, 0, 0, 1448, 72, 123, 1643
"c:\Users\SkyEye\webBackEnd\v1\public\css\animate.css", "CSS", 0, 0, 0, 2947, 0, 0, 11, 537, 3495
"c:\Users\SkyEye\webBackEnd\v1\public\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 0, 6, 0, 7
"c:\Users\SkyEye\webBackEnd\v1\public\css\custom-2.css", "CSS", 0, 0, 0, 54, 0, 0, 4, 10, 68
"c:\Users\SkyEye\webBackEnd\v1\public\css\custom.css", "CSS", 0, 0, 0, 101, 0, 0, 19, 31, 151
"c:\Users\SkyEye\webBackEnd\v1\public\css\flaticon.css", "CSS", 0, 0, 0, 71, 0, 0, 4, 4, 79
"c:\Users\SkyEye\webBackEnd\v1\public\css\font-awesome.min.css", "CSS", 0, 0, 0, 1, 0, 0, 3, 1, 5
"c:\Users\SkyEye\webBackEnd\v1\public\css\owl.carousel.min.css", "CSS", 0, 0, 0, 1, 0, 0, 5, 0, 6
"c:\Users\SkyEye\webBackEnd\v1\public\css\seat.css", "CSS", 0, 0, 0, 82, 0, 0, 20, 20, 122
"c:\Users\SkyEye\webBackEnd\v1\public\css\style.css", "CSS", 0, 0, 0, 1447, 0, 0, 72, 252, 1771
"c:\Users\SkyEye\webBackEnd\v1\public\icon-fonts\Flaticon.svg", "XML", 0, 0, 0, 0, 840, 0, 3, 1, 844
"c:\Users\SkyEye\webBackEnd\v1\public\icon-fonts\fontawesome-webfont.svg", "XML", 0, 0, 0, 0, 2671, 0, 0, 1, 2672
"c:\Users\SkyEye\webBackEnd\v1\public\js\bootstrap.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\SkyEye\webBackEnd\v1\public\js\checkout.js", "JavaScript", 132, 0, 0, 0, 0, 0, 19, 36, 187
"c:\Users\SkyEye\webBackEnd\v1\public\js\circle-progress.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 9, 0, 10
"c:\Users\SkyEye\webBackEnd\v1\public\js\index.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 5, 26
"c:\Users\SkyEye\webBackEnd\v1\public\js\jquery-3.2.1.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\SkyEye\webBackEnd\v1\public\js\jquery-3.4.1.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 1, 3
"c:\Users\SkyEye\webBackEnd\v1\public\js\main.js", "JavaScript", 111, 0, 0, 0, 0, 0, 33, 29, 173
"c:\Users\SkyEye\webBackEnd\v1\public\js\map.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\SkyEye\webBackEnd\v1\public\js\movies.js", "JavaScript", 154, 0, 0, 0, 0, 0, 96, 37, 287
"c:\Users\SkyEye\webBackEnd\v1\public\js\owl.carousel.min.js", "JavaScript", 2, 0, 0, 0, 0, 0, 5, 0, 7
"c:\Users\SkyEye\webBackEnd\v1\public\js\popper.js", "JavaScript", 25, 0, 0, 0, 0, 0, 2, 7, 34
"c:\Users\SkyEye\webBackEnd\v1\public\js\reservation.js", "JavaScript", 51, 0, 0, 0, 0, 0, 4, 11, 66
"c:\Users\SkyEye\webBackEnd\v1\public\js\test.js", "JavaScript", 276, 0, 0, 0, 0, 0, 60, 67, 403
"c:\Users\SkyEye\webBackEnd\v1\public\js\test2.js", "JavaScript", 153, 0, 0, 0, 0, 0, 41, 38, 232
"c:\Users\SkyEye\webBackEnd\v1\public\js\whatevah.js", "JavaScript", 128, 0, 0, 0, 0, 0, 39, 19, 186
